08.12.2018 00:24:19: TOKEN [uo9o8knesbl7c12td] FOR dado(76561198044866508) OWNER: 4, ID: 1.12469e+008, JIP: true
08.12.2018 00:24:44: TOKEN [nzrjv7o3qnrmwdb7y] FOR dado(76561198044866508) OWNER: 5, ID: 1.58725e+008, JIP: true
08.12.2018 00:33:16: TOKEN [nxad0lbcsp12brwtl8] FOR dado(76561198044866508) OWNER: 4, ID: 6.61383e+008, JIP: true
08.12.2018 00:36:43: TOKEN [dndsoama76rahw7] FOR dado(76561198044866508) OWNER: 4, ID: 8.68227e+008, JIP: true
08.12.2018 01:40:34: TOKEN [vfwxfvypyhzwlvzj63] FOR dado(76561198044866508) OWNER: 4, ID: 3.97341e+008, JIP: true
08.12.2018 01:44:03: TOKEN [k1066comtdgde6516] FOR dado(76561198044866508) OWNER: 5, ID: 6.22215e+008, JIP: true
08.12.2018 02:02:00: TOKEN [fgwissx6glycyq0y6c] FOR dado(76561198044866508) OWNER: 4, ID: 1.6769e+009, JIP: true
08.12.2018 02:05:28: TOKEN [shddqhz32849me] FOR dado(76561198044866508) OWNER: 4, ID: 1.90608e+009, JIP: true
08.12.2018 02:06:37: TOKEN [h3hhpsjb36bhvi4vs] FOR dado(76561198044866508) OWNER: 5, ID: 1.977e+009, JIP: true
08.12.2018 02:23:31: TOKEN [ncmr7n933zsuff] FOR dado(76561198044866508) OWNER: 4, ID: 8.38068e+008, JIP: true
08.12.2018 02:23:55: TOKEN [gtwovh4ixcd6i1pon2f] FOR dado(76561198044866508) OWNER: 5, ID: 8.67318e+008, JIP: true
08.12.2018 02:46:43: TOKEN [i1l76mrk6l5or00y] FOR dado(76561198044866508) OWNER: 4, ID: 6.45203e+007, JIP: true
08.12.2018 02:48:09: TOKEN [pfyawzczkqrqkdjfld] FOR dado(76561198044866508) OWNER: 5, ID: 1.73459e+008, JIP: true
08.12.2018 02:48:49: TOKEN [g7ss5gmj5qylt42gno] FOR dado(76561198044866508) OWNER: 6, ID: 2.13894e+008, JIP: true
08.12.2018 02:52:30: TOKEN [kpy5zzwt8su3k27i3x] FOR dado(76561198044866508) OWNER: 7, ID: 4.33038e+008, JIP: true
08.12.2018 03:11:45: TOKEN [ryrcxojc3zmgdp] FOR dado(76561198044866508) OWNER: 4, ID: 1.54538e+009, JIP: true
08.12.2018 03:12:43: TOKEN [kpehnfgpp0th7jt6v] FOR dado(76561198044866508) OWNER: 5, ID: 1.64476e+009, JIP: true
08.12.2018 03:17:20: TOKEN [sjnvmwy1b4dvu2yz2o] FOR dado(76561198044866508) OWNER: 6, ID: 1.92069e+009, JIP: true
08.12.2018 03:18:19: TOKEN [cz2b3ys1q7ka23jt] FOR dado(76561198044866508) OWNER: 7, ID: 1.97988e+009, JIP: true
08.12.2018 03:21:11: TOKEN [hwci66kyovcvoi9] FOR dado(76561198044866508) OWNER: 4, ID: 2.14352e+009, JIP: true
08.12.2018 03:30:28: TOKEN [vxwk0trgiuplypfiq7] FOR dado(76561198044866508) OWNER: 5, ID: 5.46954e+008, JIP: true
08.12.2018 03:32:21: TOKEN [x0txuodgr241kvrofop] FOR dado(76561198044866508) OWNER: 4, ID: 6.37568e+008, JIP: true
08.12.2018 03:34:41: TOKEN [myex2veoi5k1p1ylo] FOR dado(76561198044866508) OWNER: 5, ID: 8.16348e+008, JIP: true
08.12.2018 03:46:29: TOKEN [teddoji4zxtfp7rceo] FOR dado(76561198044866508) OWNER: 4, ID: 1.52468e+009, JIP: true
08.12.2018 03:50:34: TOKEN [u8cqpodyg5yy8df] FOR dado(76561198044866508) OWNER: 5, ID: 1.76943e+009, JIP: true
