10.12.2018 03:57:07: TOKEN [occdgxxqsmy9f8tb7r] FOR Nagamah(76561198281315043) OWNER: 4, ID: 1.75467e+008, JIP: true
10.12.2018 07:21:30: TOKEN [kc08yg8o12mxi58hbb] FOR stas mizulin(76561198128902838) OWNER: 4, ID: 9.05838e+008, JIP: true
10.12.2018 14:30:45: TOKEN [v7kbo7ukj7w37j] FOR stas mizulin(76561198128902838) OWNER: 4, ID: 9.46028e+008, JIP: true
10.12.2018 15:02:28: TOKEN [j1txhni4f8c6b5wj] FOR stas mizulin(76561198128902838) OWNER: 4, ID: 7.02009e+008, JIP: true
10.12.2018 16:02:14: TOKEN [d0u6b7811yr6hs5] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 8.1444e+008, JIP: true
10.12.2018 17:45:22: TOKEN [khqw7bpwn7dzihl] FOR Lazouille(76561197981840743) OWNER: 6, ID: 7.55646e+007, JIP: true
10.12.2018 17:57:24: TOKEN [wgx2df77qo8w89qpx] FOR dado(76561198044866508) OWNER: 7, ID: 2.04332e+009, JIP: true
10.12.2018 17:58:11: TOKEN [fw95d5ziwsmuy74] FOR Lazouille(76561197981840743) OWNER: 8, ID: 8.89396e+008, JIP: true
10.12.2018 17:59:08: TOKEN [jc2edbmwhms0aq2sj] FOR v1(76561198168988383) OWNER: 9, ID: 1.47546e+008, JIP: true
10.12.2018 18:14:10: TOKEN [u67knt7aq0qdfa2pw] FOR dado(76561198044866508) OWNER: 10, ID: 9.02417e+008, JIP: true
10.12.2018 18:42:31: TOKEN [i54vwudc7six6t2g] FOR Lazouille(76561197981840743) OWNER: 4, ID: 1.32434e+009, JIP: true
10.12.2018 18:42:31: TOKEN [umspbf8ty0pgf237lc] FOR dado(76561198044866508) OWNER: 5, ID: 4.48855e+008, JIP: true
10.12.2018 18:44:33: TOKEN [px2fdj0fprurjfonp] FOR dado(76561198044866508) OWNER: 7, ID: 5.47544e+008, JIP: true
10.12.2018 18:44:34: TOKEN [k7bpomfvwrvkmt1] FOR v1(76561198168988383) OWNER: 6, ID: 6.71583e+008, JIP: true
10.12.2018 18:44:37: TOKEN [a0py7jxo5z41s1wk] FOR Lazouille(76561197981840743) OWNER: 8, ID: 1.53256e+009, JIP: true
10.12.2018 18:51:54: TOKEN [t6xilic7axdac2qik] FOR dado(76561198044866508) OWNER: 9, ID: 1.02086e+009, JIP: true
10.12.2018 18:52:34: TOKEN [c1py47z8r4yjh4k] FOR dado(76561198044866508) OWNER: 10, ID: 1.05996e+009, JIP: true
