11.12.2018 00:11:57: TOKEN [v01247wrphvn6rr2v] FOR Ph3nix_545(76561198035796915) OWNER: 17, ID: 9.90196e+007, JIP: true
11.12.2018 00:13:59: TOKEN [vd6yk0tn9y6la34ehd] FOR dado(76561198044866508) OWNER: 18, ID: 1.01491e+009, JIP: true
11.12.2018 00:44:26: TOKEN [b98sjg0ulhobcdw1i5] FOR Ph3nix_545(76561198035796915) OWNER: 4, ID: 1.08336e+006, JIP: true
11.12.2018 01:38:36: TOKEN [fqdcl1jpiv0hofpd8] FOR Crusader(76561197988755407) OWNER: 5, ID: 1.78121e+009, JIP: true
11.12.2018 01:59:19: TOKEN [tpsjwv8eny3yzuqqzz] FOR 48793(76561198363389760) OWNER: 6, ID: 8.37206e+007, JIP: true
11.12.2018 02:34:26: TOKEN [ocv1w6gzkqvwou5] FOR sajan(76561198119399756) OWNER: 7, ID: 6.55091e+008, JIP: true
11.12.2018 04:34:48: TOKEN [ncrmdtrqkp4p3wfgel] FOR Crusader(76561197988755407) OWNER: 4, ID: 1.64578e+009, JIP: true
11.12.2018 08:46:24: TOKEN [hcsdduwhd8w4p95v0] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 9.82861e+008, JIP: true
11.12.2018 09:52:54: TOKEN [ix5vhy3ptqqrngse0en] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 7.07958e+008, JIP: true
11.12.2018 10:48:56: TOKEN [tick7bk5lvuvmx21e4y] FOR Slump(76561197969481938) OWNER: 5, ID: 6.54954e+008, JIP: true
11.12.2018 11:11:53: TOKEN [ni3s0x4fz20g7rcf] FOR Ph3nix_545(76561198035796915) OWNER: 6, ID: 1.08417e+009, JIP: true
11.12.2018 11:37:47: TOKEN [ub1j1hgrbdpq6rjx0] FOR Franck Idraned(76561198227507388) OWNER: 7, ID: 5.16609e+008, JIP: true
11.12.2018 17:02:29: TOKEN [jhcovq320d4vl804s] FOR Crusader(76561197988755407) OWNER: 4, ID: 1.53697e+009, JIP: true
11.12.2018 17:05:57: TOKEN [us623gto1hqy43et] FOR sajan(76561198119399756) OWNER: 5, ID: 2.05487e+009, JIP: true
11.12.2018 17:23:32: TOKEN [njsp0ruwioaoih] FOR Sandvich Dude(76561197988440053) OWNER: 6, ID: 5.08256e+008, JIP: true
11.12.2018 17:59:06: TOKEN [ln4n9wyeuwpwq2gmt] FOR Franck Idraned(76561198227507388) OWNER: 7, ID: 1.92601e+009, JIP: true
11.12.2018 18:17:32: TOKEN [plgln4p06mj9zr] FOR dado(76561198044866508) OWNER: 9, ID: 1.60016e+009, JIP: true
11.12.2018 18:20:11: TOKEN [lbz2hdqjwuy5vxcm0o] FOR Lazouille(76561197981840743) OWNER: 10, ID: 5.0814e+008, JIP: true
11.12.2018 18:20:55: TOKEN [ghb1evymxv3r3fw9] FOR v1(76561198168988383) OWNER: 11, ID: 1.93037e+009, JIP: true
11.12.2018 18:27:15: TOKEN [vmy5plbshzxxx2261] FOR dado(76561198044866508) OWNER: 12, ID: 3.35316e+007, JIP: true
