13.12.2018 01:05:12: TOKEN [uvw39eii7z7f46h3z] FOR dado(76561198044866508) OWNER: 4, ID: 7.8091e+008, JIP: true
13.12.2018 01:06:28: TOKEN [bptm12j5tgpx4nr57] FOR dado(76561198044866508) OWNER: 5, ID: 8.76934e+008, JIP: true
13.12.2018 01:10:15: TOKEN [w8i3j7ab5vwxtqjyq] FOR dado(76561198044866508) OWNER: 4, ID: 1.10426e+009, JIP: true
13.12.2018 01:10:37: TOKEN [lztd689cpmibmb8] FOR dado(76561198044866508) OWNER: 5, ID: 1.12752e+009, JIP: true
13.12.2018 01:39:01: TOKEN [xcigfxh2fpnwjtbc] FOR dado(76561198044866508) OWNER: 4, ID: 6.66202e+008, JIP: true
13.12.2018 01:39:26: TOKEN [phnj7dfipagocu05] FOR dado(76561198044866508) OWNER: 5, ID: 7.08583e+008, JIP: true
13.12.2018 01:43:34: TOKEN [vtin790bo4e77m2w] FOR dado(76561198044866508) OWNER: 4, ID: 9.49973e+008, JIP: true
13.12.2018 01:43:53: TOKEN [ryfzsi3gpt174nve64] FOR dado(76561198044866508) OWNER: 5, ID: 9.75886e+008, JIP: true
13.12.2018 01:51:15: TOKEN [xwvam3twcvow4s7lg6] FOR dado(76561198044866508) OWNER: 4, ID: 1.39494e+009, JIP: true
13.12.2018 02:31:37: TOKEN [j32n11bfuenk4m3] FOR dado(76561198044866508) OWNER: 4, ID: 1.68416e+009, JIP: true
13.12.2018 02:34:09: TOKEN [c98hrl9ryqgx54k7ml] FOR dado(76561198044866508) OWNER: 4, ID: 1.80981e+009, JIP: true
13.12.2018 02:43:02: TOKEN [gmpczo8lm3qsu2r] FOR dado(76561198044866508) OWNER: 5, ID: 2.27899e+008, JIP: true
13.12.2018 19:20:02: TOKEN [gvpha13o9e7s8oet5] FOR dado(76561198044866508) OWNER: 4, ID: 1.80818e+009, JIP: true
13.12.2018 19:21:08: TOKEN [symdz61krhcefn8] FOR dado(76561198044866508) OWNER: 5, ID: 1.91276e+009, JIP: true
13.12.2018 19:23:43: TOKEN [wjgyp26fiwcascydiyg] FOR Lazouille(76561197981840743) OWNER: 6, ID: 1.40628e+009, JIP: true
13.12.2018 19:28:58: TOKEN [ni5dtsy44naeh28dxg] FOR dado(76561198044866508) OWNER: 7, ID: 2.27038e+008, JIP: true
13.12.2018 19:35:42: TOKEN [gzsfd2go4huf5cggkoq] FOR Franck Idraned(76561198227507388) OWNER: 8, ID: 2.04174e+009, JIP: true
13.12.2018 19:35:50: TOKEN [iicvuc6ute7t2et80f] FOR dado(76561198044866508) OWNER: 9, ID: 6.46387e+008, JIP: true
13.12.2018 19:36:39: TOKEN [vk1m1fw7xoj83yhjd] FOR Lazouille(76561197981840743) OWNER: 11, ID: 1.23945e+008, JIP: true
13.12.2018 19:38:00: TOKEN [mtf3qem0exh7feqv2yi] FOR FLASH(76561198288838425) OWNER: 12, ID: 7.1031e+008, JIP: true
13.12.2018 19:40:00: TOKEN [mkj21pqyhjo00z7] FOR dado(76561198044866508) OWNER: 13, ID: 8.93848e+008, JIP: true
13.12.2018 19:52:01: TOKEN [bx17ccdxlvpel6d5mwq] FOR Franck Idraned(76561198227507388) OWNER: 14, ID: 9.01586e+008, JIP: true
13.12.2018 20:01:03: TOKEN [uup285roud83j2o0o] FOR dado(76561198044866508) OWNER: 16, ID: 2.44449e+008, JIP: true
13.12.2018 20:01:34: TOKEN [k0vlljhvgo7xuwa] FOR FLASH(76561198288838425) OWNER: 17, ID: 1.7174e+007, JIP: true
13.12.2018 20:01:48: TOKEN [icu8jewkh203c3u] FOR Lazouille(76561197981840743) OWNER: 15, ID: 1.58444e+009, JIP: true
13.12.2018 20:03:10: TOKEN [xjn24b7pvlw813k1e] FOR dado(76561198044866508) OWNER: 18, ID: 3.76638e+008, JIP: true
13.12.2018 20:03:42: TOKEN [e55dkd65dck82zp] FOR dado(76561198044866508) OWNER: 19, ID: 4.08857e+008, JIP: true
13.12.2018 20:04:15: TOKEN [lsiyghnx06fkmj] FOR dado(76561198044866508) OWNER: 20, ID: 4.41587e+008, JIP: true
13.12.2018 20:24:21: TOKEN [axc4sbucnk6i257] FOR Lazouille(76561197981840743) OWNER: 21, ID: 7.89379e+008, JIP: true
13.12.2018 20:28:04: TOKEN [v1bmkjbv46dew3q] FOR dado(76561198044866508) OWNER: 22, ID: 1.86657e+009, JIP: true
13.12.2018 20:35:38: TOKEN [k1k0tbg0mbmtw86fvr] FOR dado(76561198044866508) OWNER: 23, ID: 1.75753e+008, JIP: true
13.12.2018 20:36:32: TOKEN [wnemoohwc9ujwlf6c] FOR dado(76561198044866508) OWNER: 24, ID: 2.29191e+008, JIP: true
