14.12.2018 00:30:51: TOKEN [iyqe5iwo9vokt2] FOR FLASH(76561198288838425) OWNER: 19, ID: 1.16649e+009, JIP: true
14.12.2018 00:54:08: TOKEN [kck36h6iq4nx30w] FOR dado(76561198044866508) OWNER: 20, ID: 6.51406e+008, JIP: true
14.12.2018 01:09:55: TOKEN [wrcly6v2wusjq5sg] FOR Franck Idraned(76561198227507388) OWNER: 21, ID: 6.82078e+008, JIP: true
14.12.2018 01:21:40: TOKEN [wfjq0uhvvfb2qoummmn] FOR dado(76561198044866508) OWNER: 6, ID: 8.67883e+007, JIP: true
14.12.2018 01:22:23: TOKEN [ib0ld0pw8qcjf0] FOR dado(76561198044866508) OWNER: 9, ID: 2.03772e+008, JIP: true
14.12.2018 01:22:30: TOKEN [shbfwq3q1gq28copi04] FOR Franck Idraned(76561198227507388) OWNER: 7, ID: 1.34518e+009, JIP: true
14.12.2018 01:23:14: TOKEN [gsnro9n85wwv4s] FOR v1(76561198168988383) OWNER: 8, ID: 1.71673e+009, JIP: true
14.12.2018 01:23:48: TOKEN [bbqsis0brm0yntq4ky] FOR FLASH(76561198288838425) OWNER: 10, ID: 2.1454e+009, JIP: true
14.12.2018 02:32:53: TOKEN [sqe2nh47gnjgf986] FOR dado(76561198044866508) OWNER: 11, ID: 1.36784e+008, JIP: true
14.12.2018 02:36:36: TOKEN [xdcsi9f7i0jxlab0] FOR dado(76561198044866508) OWNER: 12, ID: 3.60498e+008, JIP: true
14.12.2018 02:48:34: TOKEN [ucovip3w51a31s0nv6] FOR FLASH(76561198288838425) OWNER: 13, ID: 8.40985e+008, JIP: true
14.12.2018 02:54:30: TOKEN [is0ptzmsdbdha60] FOR FLASH(76561198288838425) OWNER: 14, ID: 1.20446e+009, JIP: true
14.12.2018 02:58:21: TOKEN [qd0kjlwkw1vzm4rc5] FOR FLASH(76561198288838425) OWNER: 15, ID: 1.43572e+009, JIP: true
14.12.2018 10:51:28: TOKEN [kc5756zmped2mnxg3] FOR LEPUN(76561198155686689) OWNER: 4, ID: 1.17848e+009, JIP: true
14.12.2018 13:23:57: TOKEN [lzmqe888kmcoq4uptqg] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 7.83839e+008, JIP: true
14.12.2018 13:26:34: TOKEN [kiztucvw6tft3h478] FOR FLASH(76561198288838425) OWNER: 6, ID: 4.28906e+008, JIP: true
14.12.2018 16:10:24: TOKEN [oj4ua2r7fm35ren6k] FOR Scott(76561198126293492) OWNER: 7, ID: 1.49406e+009, JIP: true
14.12.2018 16:12:27: TOKEN [jy2y4srchimpbu6ps3] FOR Franck Idraned(76561198227507388) OWNER: 8, ID: 2.90711e+008, JIP: true
14.12.2018 16:23:06: TOKEN [c2zfjxv0jxbimofo] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 9.248e+008, JIP: true
14.12.2018 17:15:24: TOKEN [o5l8ywstijpy87fc42j] FOR Lazouille(76561197981840743) OWNER: 6, ID: 2.75319e+008, JIP: true
14.12.2018 17:28:32: TOKEN [yzb0b84ue5spw6dq] FOR Looping Murdooch(76561197996789745) OWNER: 7, ID: 1.8354e+009, JIP: true
14.12.2018 17:31:27: TOKEN [i5xn8kk2hvsvyq5y8v] FOR Lazouille(76561197981840743) OWNER: 8, ID: 1.2673e+009, JIP: true
14.12.2018 18:20:16: TOKEN [ajqz0qfvf6m4i1yni] FOR Franck Idraned(76561198227507388) OWNER: 9, ID: 1.47979e+009, JIP: true
14.12.2018 18:43:13: TOKEN [ctp41qjjrdzx2svftx1] FOR PROMETHEUS(76561198094793589) OWNER: 10, ID: 7.51629e+008, JIP: true
14.12.2018 19:09:24: TOKEN [wpgebbgrkbfykf75l43] FOR opog(76561198160382327) OWNER: 11, ID: 5.26355e+008, JIP: true
14.12.2018 19:29:21: TOKEN [fc6ypkkfngrmxx6] FOR Lazouille(76561197981840743) OWNER: 5, ID: 1.91062e+009, JIP: true
14.12.2018 19:29:21: TOKEN [oifpto3cyw6r9y] FOR Franck Idraned(76561198227507388) OWNER: 4, ID: 1.2962e+009, JIP: true
14.12.2018 19:29:21: TOKEN [afanrvr7u7qpb7kw48] FOR opog(76561198160382327) OWNER: 6, ID: 1.73798e+009, JIP: true
14.12.2018 19:31:27: TOKEN [qophnybgfu3ebu4] FOR dado(76561198044866508) OWNER: 7, ID: 1.06087e+009, JIP: true
14.12.2018 19:31:36: TOKEN [h2ugyvzhxcfzsvb] FOR opog(76561198160382327) OWNER: 8, ID: 1.88405e+009, JIP: true
14.12.2018 19:32:02: TOKEN [uzxmiujshtfd8weev] FOR dado(76561198044866508) OWNER: 9, ID: 1.1583e+009, JIP: true
14.12.2018 19:34:21: TOKEN [s3rxgfls5r8oi8wp] FOR FLASH(76561198288838425) OWNER: 10, ID: 1.02316e+009, JIP: true
14.12.2018 19:53:00: TOKEN [e1r3uvhx35z0q2i3] FOR dado(76561198044866508) OWNER: 12, ID: 2.67633e+008, JIP: true
14.12.2018 20:31:54: TOKEN [yf856rclhujszolop] FOR Julius(76561198020201324) OWNER: 15, ID: 5.8227e+007, JIP: true
14.12.2018 21:53:02: TOKEN [kq3hvdk3voirfn] FOR Julius(76561198020201324) OWNER: 18, ID: 6.69078e+008, JIP: true
14.12.2018 21:58:26: TOKEN [jv2vp9dguyci9n3lm] FOR Lucien Waltek(76561198009114257) OWNER: 19, ID: 8.44701e+008, JIP: true
14.12.2018 22:02:58: TOKEN [rroub5rdqzf2kkrst] FOR Amory Filet(76561198340757558) OWNER: 20, ID: 6.20534e+008, JIP: true
14.12.2018 22:33:11: TOKEN [v86uz590v0rwri61] FOR dado(76561198044866508) OWNER: 7, ID: 1.27029e+009, JIP: true
14.12.2018 22:33:18: TOKEN [mxrka5zd2eoej6g46yb] FOR Franck Idraned(76561198227507388) OWNER: 6, ID: 1.62685e+009, JIP: true
14.12.2018 22:33:54: TOKEN [yf65rpzru6nix4msjp] FOR dado(76561198044866508) OWNER: 8, ID: 1.3335e+009, JIP: true
14.12.2018 22:35:18: TOKEN [ahptb4k27jtli04h] FOR dado(76561198044866508) OWNER: 10, ID: 1.41712e+009, JIP: true
14.12.2018 22:36:17: TOKEN [mcmfk8smulrx0trrxp] FOR Lucien Waltek(76561198009114257) OWNER: 9, ID: 9.85339e+008, JIP: true
